,uid,dt,lat,lon,loc,region,x,y
4714,22,2010-03-04 01:12:20+00:00,40.7341590995,-74.0030177347,166237,110,0.4884413649838356,1.903478803336868
4715,22,2010-03-04 01:12:00+00:00,40.7337138,-74.00304466,513319,110,0.486170163778349,1.952928764491116
4716,22,2010-03-04 01:11:50+00:00,40.7338915833,-74.0044516,440651,109,0.3673209077349016,1.933186148398481
4717,22,2010-03-04 01:11:39+00:00,40.7334377134,-74.0032947063,200881,110,0.4650499542035799,1.9835878395398043
4718,22,2010-03-04 01:11:28+00:00,40.7341933833,-74.0041635333,34817,109,0.3916528979270532,1.8996716294038485
4719,22,2010-03-04 01:11:20+00:00,40.730565031,-74.0060327031,144879,133,0.2337725679866883,2.3025955754786125
4720,22,2010-03-04 01:10:12+00:00,40.7190166905,-74.0019759908,67980,206,0.5765705580322764,3.585022529391851
4721,22,2010-03-04 01:09:59+00:00,40.7282832113,-74.0042281151,273251,145,0.386231698579317,2.5559886447034224
4722,22,2010-03-04 01:09:51+00:00,40.7279877023,-74.0057232367,247998,145,0.2599253476916062,2.588804522190589
4723,22,2010-03-04 01:09:43+00:00,40.72894614,-74.00601118,295650,145,0.2355964815896697,2.4823712969633087
4724,22,2010-03-04 01:09:35+00:00,40.72895896,-74.00604587,466259,145,0.2326658634545461,2.4809476529824765
4725,22,2010-03-04 01:09:23+00:00,40.73385602,-74.0038166,330722,110,0.4209612699439112,1.9371354090303805
4726,22,2010-03-04 01:09:14+00:00,40.728694961,-74.0050956192,96977,145,0.3129432392395188,2.510264390819948
4727,22,2010-03-04 01:08:58+00:00,40.7314849667,-74.00419055,530326,121,0.3893865248914135,2.200437900455346
4728,22,2010-03-04 01:08:47+00:00,40.7321212362,-74.0037106558,273990,122,0.4299218290301072,2.1297809821521803
4729,22,2010-03-04 01:08:35+00:00,40.7328257946,-74.0033049732,166245,122,0.4641869286231731,2.0515406592875443
4730,22,2010-03-04 01:08:22+00:00,40.7337629052,-74.002468586,92725,110,0.5348324022781871,1.947475692684196
4731,22,2010-03-04 01:08:09+00:00,40.7336545361,-74.0030540655,129884,110,0.4853760847529444,1.9595099473237
4732,22,2010-03-04 01:08:00+00:00,40.7337429559,-74.0046292755,405479,109,0.3523129699159795,1.9496910378133865
4733,22,2010-03-04 01:07:52+00:00,40.73382502,-74.00377792,211068,110,0.4242288710090534,1.940577920801092
4734,22,2010-03-04 01:07:43+00:00,40.73381882,-74.00374472,350795,110,0.4270334057024904,1.94126642315244
4735,22,2010-03-04 01:03:35+00:00,40.74089449,-74.0064435,624542,60,0.1990389467584792,1.1555215151807137
4736,22,2010-03-03 23:48:57+00:00,40.7407460153,-74.0045392513,67247,61,0.3598798299528358,1.1720094675200103
4748,22,2010-03-03 05:29:31+00:00,40.7421995985,-74.0044771726,463788,61,0.3651152962001606,1.0105906315820594
4749,22,2010-03-03 05:29:23+00:00,40.7421403,-74.0034926333,108907,62,0.44827200030303,1.0171756664132297
4750,22,2010-03-03 05:29:15+00:00,40.74207,-74.003975,378048,62,0.4075306646424009,1.0249824059340336
4751,22,2010-03-03 05:28:21+00:00,40.7424611957,-74.0038740635,636806,50,0.41605355740192,0.9815405422552962
4752,22,2010-03-03 05:28:03+00:00,40.7425018392,-74.003970623,518325,50,0.4078977180950794,0.9770271249233944
4753,22,2010-03-03 05:27:52+00:00,40.7424611957,-74.0038740635,636806,50,0.41605355740192,0.9815405422552962
4754,22,2010-03-03 05:27:34+00:00,40.7424368095,-74.0037989616,45946,50,0.422396954761004,0.9842486037449044
4755,22,2010-03-03 05:27:25+00:00,40.7420385013,-74.0047001839,231271,61,0.346280117800843,1.028480302719221
4756,22,2010-03-03 05:27:16+00:00,40.7403070521,-74.0056979656,59679,73,0.2620119208583221,1.2207558461995849
4757,22,2010-03-03 05:23:11+00:00,40.7426989601,-74.0038070083,637714,50,0.4217156598558437,0.9551370587376448
4758,22,2010-03-03 05:21:02+00:00,40.7418382703,-74.0034257382,28111,62,0.4539241625443605,1.0507157396406388
4759,22,2010-03-03 03:26:53+00:00,40.7431114894,-74.0057301521,294127,49,0.2592824126443439,0.90932611652652
4760,22,2010-03-03 00:09:54+00:00,40.736904989,-74.0022325516,46995,86,0.5547447945526319,1.5985510709512532
4761,22,2010-03-02 22:22:46+00:00,40.7235104693,-73.9884352684,12579,188,1.7205303613885303,3.0859950262612768
4762,22,2010-03-02 20:46:21+00:00,40.72343965,-73.9886553,627369,188,1.7019426226821526,3.093859408023208
4763,22,2010-03-01 02:30:59+00:00,40.7317873406,-73.9890950918,70798,128,1.6645784157401704,2.166859664615434
4766,22,2010-02-25 02:26:05+00:00,40.7283409521,-73.9902064457,474537,151,1.570777479579938,2.549576606231293
4767,22,2010-02-25 02:25:56+00:00,40.7292843206,-73.9936743134,31779,150,1.2777950889633611,2.4448167892222896
4768,22,2010-02-25 02:25:45+00:00,40.7294458547,-73.9894545078,493062,152,1.6342739199707923,2.426878640575089
4769,22,2010-02-25 02:25:35+00:00,40.72969639,-73.99043095,435352,139,1.5517799420798697,2.399057025117396
4770,22,2010-02-25 02:25:25+00:00,40.7297300667,-73.9930425667,299146,138,1.3311552104274451,2.3953172717951823
4771,22,2010-02-25 02:24:38+00:00,40.7291809,-73.9933717833,68308,150,1.303354391249526,2.4563015101150354
4772,22,2010-02-25 02:24:23+00:00,40.7294214638,-73.9937782288,603300,150,1.2690138681219614,2.429587217867658
4773,22,2010-02-25 02:24:07+00:00,40.72966715,-73.9930544667,530492,138,1.3301511759865787,2.4023040887124933
4774,22,2010-02-25 02:23:50+00:00,40.7275352062,-73.9905703068,220596,163,1.5400571860745875,2.639053602981205
4775,22,2010-02-25 02:23:06+00:00,40.72961044,-73.99056935,355915,139,1.5400901735107464,2.4086016596772124
4776,22,2010-02-25 02:22:50+00:00,40.7298747268,-73.9910048246,530522,139,1.503296171155824,2.3792529573621457
4777,22,2010-02-25 02:22:35+00:00,40.729372682,-73.9904630184,425186,151,1.5490783755888136,2.435004372416132
4778,22,2010-02-25 02:22:25+00:00,40.7299255408,-73.9927375317,314496,138,1.3569199623740469,2.373610129190576
4779,22,2010-02-25 02:22:13+00:00,40.7281514389,-73.990983991,154030,151,1.505094973010014,2.570621792919921
4780,22,2010-02-25 02:21:28+00:00,40.7297641076,-73.9890720212,186389,140,1.6665777902034429,2.3915370745201106
4781,22,2010-02-25 02:21:16+00:00,40.7284523829,-73.9926579662,225150,150,1.3636715431654665,2.5372023650159905
4782,22,2010-02-25 02:19:23+00:00,40.7281627781,-73.9913149977,153899,151,1.477131303621629,2.569362589986215
4783,22,2010-02-25 02:19:08+00:00,40.7296393167,-73.9921853,602751,138,1.4035772258415604,2.405394940103012
4784,22,2010-02-25 02:18:50+00:00,40.7284896479,-73.992605551,521373,150,1.3680987918146998,2.533064136585161
4785,22,2010-02-25 02:18:41+00:00,40.7282600015,-73.9912317092,326478,151,1.4841653480310577,2.5585660618773858
4786,22,2010-02-25 02:18:31+00:00,40.7285468273,-73.9925331742,49718,150,1.374211970701916,2.5267144406028827
4787,22,2010-02-25 02:18:24+00:00,40.7286978627,-73.9923083782,541118,150,1.393199455909507,2.509942160901613
4788,22,2010-02-25 02:17:15+00:00,40.7293401607,-73.9917290211,458830,151,1.442129229416464,2.438615819860557
4789,22,2010-02-25 02:07:53+00:00,40.72968357,-73.99076759,399247,139,1.5233415727789592,2.4004806692806606
4790,22,2010-02-25 02:07:46+00:00,40.7300800153,-73.9916110039,864730,139,1.4520830524788024,2.356455937906817
4791,22,2010-02-24 23:35:05+00:00,40.7377301171,-73.9865899086,13076,93,1.8760376298118095,1.506921557620797
4792,22,2010-02-24 23:04:01+00:00,40.744294195,-73.9903986454,39399,43,1.5541692125056623,0.7779878930149295
4793,22,2010-02-24 21:39:30+00:00,40.74878785,-74.0052502333,590361,13,0.2997913421416102,0.2789719452319253
4794,22,2010-02-24 21:38:36+00:00,40.7491679735,-74.0067644967,430863,12,0.1719050413771451,0.2367595882577545
4816,22,2010-02-19 05:29:22+00:00,40.7397937303,-73.9850429064,520880,81,2.0066474956119267,1.2777596605865098
4817,22,2010-02-19 05:29:12+00:00,40.7398300171,-73.9853363037,169924,81,1.98186455923362,1.2737300520140098
4818,22,2010-02-19 05:28:49+00:00,40.7391852441,-73.9873409271,349641,80,1.8125612510788665,1.3453313690569129
4819,22,2010-02-19 05:28:31+00:00,40.7373967018,-73.9874146321,117067,92,1.8063840664240076,1.5439469394753835
4820,22,2010-02-19 05:28:21+00:00,40.7404943989,-73.9832346091,371485,70,2.1593630168922457,1.199951191371862
4821,22,2010-02-19 05:28:14+00:00,40.7391994017,-73.983993186,128313,82,2.0953309799631947,1.343759183573521
4822,22,2010-02-19 05:28:06+00:00,40.73887401,-73.98737198,188217,80,1.8099467736297516,1.3798935632194802
4823,22,2010-02-19 05:27:58+00:00,40.7381844167,-73.98373305,192182,94,2.1173357943244437,1.456472111185869
4824,22,2010-02-19 05:27:50+00:00,40.7386080746,-73.9873301983,371666,92,1.813483143449669,1.4094253865919188
4825,22,2010-02-19 05:27:38+00:00,40.7383277233,-73.9873254611,147124,92,1.8138908940624416,1.4405580777680465
4826,22,2010-02-19 05:27:28+00:00,40.73774904,-73.98436015,226700,94,2.064379854341491,1.5048201914871926
4827,22,2010-02-19 05:27:21+00:00,40.73901921,-73.9856882,191667,81,1.9521652896584945,1.3637692679705506
4828,22,2010-02-19 05:27:14+00:00,40.7379291,-73.98609453,255148,93,1.917875457108239,1.4848247366404388
4829,22,2010-02-19 05:27:06+00:00,40.73808413,-73.98618286,490419,93,1.910410003333131,1.4676088338585564
4830,22,2010-02-19 05:26:58+00:00,40.73813849,-73.9861257,238340,93,1.91523659831621,1.4615722184140283
4831,22,2010-02-19 05:26:50+00:00,40.7383269298,-73.9855956191,120817,93,1.9600055626534645,1.4406461950317986
4832,22,2010-02-19 05:26:14+00:00,40.7383280349,-73.9855944482,99253,93,1.9601044326824757,1.4405234749454334
4833,22,2010-02-19 00:55:26+00:00,40.7444201864,-73.9872121811,95281,44,1.823292952742505,0.7639966778430639
4834,22,2010-02-19 00:55:09+00:00,40.7457482667,-73.9850020333,124578,45,2.0099205956614594,0.6165147100875356
4835,22,2010-02-19 00:54:41+00:00,40.7444240755,-73.9869633326,387801,45,1.8443104254629952,0.7635647972903051
4836,22,2010-02-19 00:54:31+00:00,40.744728987,-73.9876104281,480889,44,1.7896489963533142,0.7297046880458175
4837,22,2010-02-19 00:54:20+00:00,40.7449513664,-73.9878090536,480953,44,1.7728673901448502,0.7050096826993104
4838,22,2010-02-19 00:54:08+00:00,40.7454617579,-73.9849570561,101721,45,2.0137279065397107,0.6483312240648321
4839,22,2010-02-19 00:53:56+00:00,40.74768745,-73.98698085,270506,21,1.842740840183768,0.4011703140174504
4840,22,2010-02-19 00:53:48+00:00,40.7476632971,-73.9863243594,90469,33,1.8981855764755888,0.4038524702276864
4841,22,2010-02-19 00:53:40+00:00,40.7475674931,-73.986424966,391139,33,1.8896915340613725,0.4144914117549812
4842,22,2010-02-19 00:53:26+00:00,40.74647414,-73.9862414,543982,33,1.9052258691241173,0.5359072033463104
4843,22,2010-02-19 00:53:16+00:00,40.7465293915,-73.9860248415,383029,33,1.9235141025552545,0.5297715789049192
4844,22,2010-02-18 16:53:36+00:00,40.7458426539,-73.9882743359,28125,44,1.733547123631646,0.6060331061453923
4845,22,2010-02-18 16:52:16+00:00,40.7458263973,-73.9882743359,148006,44,1.7335475457513991,0.607838385291034
4846,22,2010-02-18 16:51:19+00:00,40.7458101407,-73.9882206917,60450,44,1.7380786272949449,0.6096436644314888
4847,22,2010-02-18 15:06:23+00:00,40.7492849768,-73.9843425018,299102,22,2.0655136532330647,0.2237664813321215
4848,22,2010-02-18 15:06:09+00:00,40.75009107,-73.98614299,187665,9,1.913433582307955,0.1342505789656809
4849,22,2010-02-18 15:05:43+00:00,40.7456861467,-73.980276911,572794,47,2.4089956096595797,0.6234130737210173
4852,22,2010-02-18 15:05:14+00:00,40.7467452109,-73.9813176112,92128,35,2.3210636039650705,0.505805047373196
4853,22,2010-02-18 15:05:07+00:00,40.7476314333,-73.9829194429,504997,34,2.185749651236349,0.4073909144150555
4854,22,2010-02-18 15:04:58+00:00,40.7483100868,-73.9825300027,345943,22,2.2186173768107817,0.3320270950554705
4855,22,2010-02-18 15:04:34+00:00,40.7479421,-73.9824845333,380769,22,2.2224697195965364,0.3728916768632629
4856,22,2010-02-18 15:04:25+00:00,40.7475571888,-73.9822712033,168859,35,2.240499398377307,0.415635694291156
4857,22,2010-02-18 15:04:16+00:00,40.7474439094,-73.9813542366,331842,35,2.31794609490225,0.4282152618343366
4859,22,2010-02-18 15:03:40+00:00,40.7462525333,-73.9806246667,63544,35,2.3796047617876552,0.5605164076614616
4860,22,2010-02-18 15:03:24+00:00,40.7466867667,-73.9808058833,225071,35,2.3642843692732214,0.5122952182344982
4862,22,2010-02-18 15:03:02+00:00,40.74646365,-73.9804425167,155650,35,2.394981034701629,0.537072107465825
4863,22,2010-02-18 15:02:56+00:00,40.7462743333,-73.9801742,298864,35,2.4176490482701696,0.5580955393171361
4875,22,2010-02-16 23:52:21+00:00,40.7193980751,-73.9888349175,570315,212,1.6868695076218287,3.542670347602543
4876,22,2010-02-16 23:24:59+00:00,40.7230595333,-73.9895201333,479802,188,1.6288856909791276,3.136070821092618
4877,22,2010-02-16 23:24:46+00:00,40.72330754,-73.98934137,434656,188,1.6439826486512077,3.1085300339148154
4878,22,2010-02-16 23:24:37+00:00,40.72305428,-73.98896348,505751,188,1.6759154316908185,3.136654192487506
4879,22,2010-02-16 23:24:29+00:00,40.72305542,-73.98902106,437962,188,1.6710506784117252,3.1365275971301494
4880,22,2010-02-16 20:48:50+00:00,40.7226580833,-73.9877200167,342288,188,1.7809816836211267,3.180651263431932
4881,22,2010-02-16 20:48:35+00:00,40.7244211382,-73.9876306057,321345,176,1.78848854477135,2.9848665415261277
4882,22,2010-02-16 20:48:26+00:00,40.7234719187,-73.9881062886,469654,188,1.7483254870724598,3.090276015149356
4883,22,2010-02-16 20:48:19+00:00,40.7236852862,-73.9879846573,549368,188,1.7585959930203914,3.066581859661975
4884,22,2010-02-16 20:48:02+00:00,40.7236693833,-73.9888293167,535213,188,1.6872348681049711,3.068347853975415
4885,22,2010-02-16 20:47:52+00:00,40.72303229,-73.98894429,435441,188,1.677537277090335,3.139096150286
4886,22,2010-02-16 20:47:43+00:00,40.7225870929,-73.9886599523,469142,188,1.701571280559001,3.188534644436402
4887,22,2010-02-16 20:47:33+00:00,40.7219818186,-73.9881563187,767470,200,1.7441375484290402,3.255749474019732
4888,22,2010-02-16 03:02:57+00:00,40.7318789117,-74.0014462422,387856,123,0.6212101891047768,2.1566908104339118
4889,22,2010-02-16 03:02:39+00:00,40.7319357132,-74.0009585023,276260,123,0.6624115532443888,2.1503830760262845
4890,22,2010-02-16 03:02:22+00:00,40.7315092525,-74.0005947203,68528,123,0.6931465111235044,2.197740993414055
4891,22,2010-02-16 03:02:15+00:00,40.73189413,-74.00121223,487090,123,0.6409782713505721,2.155000837560292
4892,22,2010-02-16 03:02:08+00:00,40.7318296167,-74.00111695,513493,123,0.6490276937883608,2.1621649575033155
